trip_id,origin_station,destination_station,route_id,day_type,hour_block,distance_km,segment_count,transfer_count,is_peak_hour,weather_condition,traffic_level,station_type_origin,station_type_destination,travel_time_min
TRIP_0001,Portal Norte,Hospital Central,R1+R2,sunday,15-18,8.1,3,1,1,clear,high,terminal,central,49.65
TRIP_0002,San Pedro,Villa Nueva,R1+R3,weekday,09-12,11.8,4,1,0,clear,high,intermedia,barrial,60.7
TRIP_0003,San Pedro,Hospital Central,R5,weekday,12-15,2.7,1,0,0,clear,high,intermedia,central,20.33
TRIP_0004,San Pedro,Lago Azul,R1,weekday,21-23,8.3,3,0,0,rain,medium,intermedia,intermedia,32.57
TRIP_0005,Parque Industrial,San Pedro,R5,weekday,15-18,6.1,2,0,1,rain,high,industrial,intermedia,34.91
TRIP_0006,Mercado Distrital,Portal Norte,R2+R1,weekday,07-09,9.9,4,1,1,clear,high,barrial,terminal,54.06
TRIP_0007,San Pedro,Lago Azul,R1,saturday,09-12,8.3,3,0,0,rain,high,intermedia,intermedia,37.87
TRIP_0008,Universidad,Hospital Central,R1+R2,weekday,07-09,4.5,2,1,1,clear,high,intermedia,central,40.02
TRIP_0009,Terminal Sur,Parque Industrial,R2+R5,saturday,09-12,9.2,3,1,0,clear,low,terminal,industrial,42.47
TRIP_0010,San Pedro,Villa Nueva,R1+R3,weekday,15-18,11.8,4,1,1,clear,high,intermedia,barrial,67.53
TRIP_0011,Hospital Central,Parque Industrial,R5,weekday,09-12,3.4,1,0,0,clear,medium,central,industrial,17.59
TRIP_0012,Portal Norte,Centro Histórico,R1,weekday,09-12,6.0,2,0,0,clear,medium,terminal,central,27.39
TRIP_0013,Portal Norte,Tecnoparque,R1+R4,weekday,18-21,12.7,4,1,1,clear,low,terminal,industrial,59.95
TRIP_0014,Hospital Central,Aeropuerto,R5+R4,saturday,09-12,9.5,2,1,0,clear,medium,central,terminal,39.54
TRIP_0015,Terminal Sur,Lago Azul,R3,weekday,07-09,8.7,2,0,1,heavy_rain,high,terminal,intermedia,48.48
TRIP_0016,Parque Industrial,Universidad,R4,saturday,15-18,7.3,2,0,1,clear,medium,industrial,intermedia,33.21
TRIP_0017,Mercado Distrital,Parque Industrial,R2+R5,weekday,07-09,5.2,2,1,1,clear,high,barrial,industrial,40.32
TRIP_0018,Mercado Distrital,Parque Industrial,R2+R5,saturday,09-12,5.2,2,1,0,clear,medium,barrial,industrial,30.88
TRIP_0019,Terminal Sur,Villa Nueva,R3,weekday,05-07,5.2,1,0,0,clear,medium,terminal,barrial,22.07
TRIP_0020,Lago Azul,Terminal Sur,R3,weekday,18-21,8.7,2,0,1,clear,medium,intermedia,terminal,34.94
TRIP_0021,Universidad,Aeropuerto,R4,sunday,12-15,13.4,3,0,0,rain,low,intermedia,terminal,43.07
TRIP_0022,Parque Industrial,Terminal Sur,R5+R2,weekday,12-15,9.2,3,1,0,clear,medium,industrial,terminal,41.6
TRIP_0023,Portal Norte,Universidad,R1,sunday,07-09,8.4,3,0,1,clear,medium,terminal,intermedia,31.9
TRIP_0024,Lago Azul,Hospital Central,R1+R2,weekday,15-18,4.9,2,1,1,rain,medium,intermedia,central,37.56
TRIP_0025,Centro Histórico,Mercado Distrital,R2,weekday,09-12,3.9,2,0,0,rain,high,central,barrial,26.41
TRIP_0026,Portal Norte,Centro Histórico,R1,weekday,12-15,6.0,2,0,0,clear,high,terminal,central,31.99
TRIP_0027,Portal Norte,Parque Industrial,R1+R4,sunday,18-21,15.7,5,1,1,rain,high,terminal,industrial,83.52
TRIP_0028,San Pedro,Lago Azul,R1,weekday,15-18,8.3,3,0,1,clear,medium,intermedia,intermedia,35.18
TRIP_0029,Centro Histórico,Portal Norte,R1,weekday,07-09,6.0,2,0,1,rain,medium,central,terminal,29.26
TRIP_0030,San Pedro,Terminal Sur,R5+R2,weekday,09-12,8.5,3,1,0,rain,high,intermedia,terminal,48.41
TRIP_0031,Parque Industrial,Hospital Central,R5,weekday,07-09,3.4,1,0,1,clear,high,industrial,central,24.08
TRIP_0032,Universidad,Aeropuerto,R4,weekday,07-09,13.4,3,0,1,rain,high,intermedia,terminal,56.02
TRIP_0033,Hospital Central,Terminal Sur,R2,weekday,18-21,5.8,2,0,1,clear,medium,central,terminal,28.9
TRIP_0034,Terminal Sur,Parque Industrial,R2+R5,weekday,18-21,9.2,3,1,1,clear,high,terminal,industrial,54.36
TRIP_0035,Terminal Sur,Lago Azul,R3,sunday,12-15,8.7,2,0,0,rain,medium,terminal,intermedia,28.59
TRIP_0036,San Pedro,Terminal Sur,R5+R2,weekday,07-09,8.5,3,1,1,rain,high,intermedia,terminal,48.6
TRIP_0037,Universidad,Aeropuerto,R4,sunday,12-15,13.4,3,0,0,clear,low,intermedia,terminal,39.93
TRIP_0038,Aeropuerto,Lago Azul,R4+R1,sunday,09-12,18.6,5,1,0,clear,low,terminal,intermedia,61.54
TRIP_0039,Hospital Central,Tecnoparque,R5+R4,weekday,12-15,6.4,2,1,0,clear,high,central,industrial,36.94
TRIP_0040,Tecnoparque,Lago Azul,R4+R1,sunday,07-09,9.5,3,1,1,clear,medium,industrial,intermedia,43.14
TRIP_0041,Parque Industrial,Portal Norte,R4+R1,weekday,05-07,15.7,5,1,0,clear,medium,industrial,terminal,64.33
TRIP_0042,Hospital Central,Portal Norte,R2+R1,weekday,18-21,8.1,3,1,1,rain,medium,central,terminal,46.93
TRIP_0043,Centro Histórico,Tecnoparque,R1+R4,weekday,05-07,6.7,2,1,0,clear,medium,central,industrial,33.15
TRIP_0044,Aeropuerto,Lago Azul,R4+R1,weekday,18-21,18.6,5,1,1,clear,high,terminal,intermedia,93.47
TRIP_0045,Tecnoparque,Centro Histórico,R4+R1,saturday,15-18,6.7,2,1,1,rain,medium,industrial,central,44.2
TRIP_0046,Villa Nueva,Universidad,R3+R1,sunday,12-15,8.7,3,1,0,clear,medium,barrial,intermedia,38.62
TRIP_0047,Lago Azul,Portal Norte,R1,weekday,07-09,3.2,1,0,1,clear,medium,intermedia,terminal,20.08
TRIP_0048,Tecnoparque,Parque Industrial,R4,saturday,09-12,3.0,1,0,0,heavy_rain,high,industrial,industrial,33.18
TRIP_0049,Universidad,Villa Nueva,R1+R3,sunday,15-18,8.7,3,1,1,rain,high,intermedia,barrial,50.81
TRIP_0050,Portal Norte,Parque Industrial,R1+R4,saturday,07-09,15.7,5,1,1,clear,high,terminal,industrial,80.53
TRIP_0051,Mercado Distrital,Terminal Sur,R2,saturday,05-07,4.0,1,0,0,rain,low,barrial,terminal,17.32
TRIP_0052,Lago Azul,Centro Histórico,R1,weekday,15-18,2.8,1,0,1,rain,high,intermedia,central,25.64
TRIP_0053,Lago Azul,Aeropuerto,R1+R4,weekday,12-15,18.6,5,1,0,clear,medium,intermedia,terminal,70.22
TRIP_0054,Villa Nueva,Hospital Central,R3+R2,weekday,12-15,11.0,3,1,0,rain,low,barrial,central,45.61
TRIP_0055,Parque Industrial,Terminal Sur,R5+R2,saturday,15-18,9.2,3,1,1,clear,high,industrial,terminal,53.7
TRIP_0056,Terminal Sur,San Pedro,R2+R5,weekday,09-12,8.5,3,1,0,clear,low,terminal,intermedia,39.11
TRIP_0057,Aeropuerto,Parque Industrial,R4,saturday,12-15,6.1,1,0,0,rain,medium,terminal,industrial,27.05
